user_id,signup_date,city,device,acquisition_channel,user_type
U00077,2024-10-21,Bengaluru,Android,Organic,New
U00078,2023-03-10,Kolkata,Android,Organic,Returning
U00079,2024-12-11,Bengaluru,Android,Paid Social,New
U00080,2023-07-05,Kolkata,Android,Paid Search,Returning
U00081,2024-06-06,Hyderabad,Android,Organic,Returning
U00082,2024-10-19,Hyderabad,Android,Paid Social,New
U00083,2023-01-30,Hyderabad,Android,Organic,Returning
U00084,2024-10-27,Bengaluru,Android,Referral,New
U00085,2024-12-13,Mumbai,Android,Paid Search,New
U00086,2024-10-16,Hyderabad,Android,Organic,New
U00087,2023-04-04,Hyderabad,Android,Paid Search,Returning
U00088,2024-09-09,Delhi,Android,Organic,New
U00089,2024-12-03,Bengaluru,Android,Referral,New
U00090,2024-12-25,Delhi,Android,Paid Search,New
U00091,2024-11-08,Delhi,Android,Referral,New
U00092,2023-08-15,Mumbai,Android,Referral,Returning
U00093,2024-12-12,Hyderabad,iOS,Paid Search,New
U00094,2024-12-04,Hyderabad,Android,Paid Social,New
U00095,2024-10-12,Mumbai,Android,Paid Search,New
U00096,2024-09-09,Delhi,Android,Organic,Returning
U00097,2024-09-19,Delhi,iOS,Referral,New
U00098,2024-12-18,Delhi,Android,Paid Search,New
U00099,2024-09-12,Bengaluru,iOS,Referral,New
U00100,2023-02-13,Bengaluru,Android,Paid Search,Returning
U00101,2024-05-11,Delhi,Android,Organic,Returning
U00102,2024-02-01,Bengaluru,Android,Organic,Returning
U00103,2024-11-04,Mumbai,iOS,Organic,New
U00104,2024-09-11,Bengaluru,iOS,Organic,Returning
U00105,2023-08-23,Delhi,iOS,Paid Social,Returning
U00106,2024-07-31,Bengaluru,Android,Organic,Returning
U00107,2024-12-24,Mumbai,iOS,Referral,New
U00108,2024-09-14,Mumbai,Android,Paid Search,New
U00109,2024-10-12,Delhi,Android,Paid Search,New
U00110,2023-07-13,Bengaluru,Android,Organic,Returning
U00111,2024-11-25,Kolkata,iOS,Organic,New
U00112,2024-09-20,Mumbai,Android,Paid Search,New
U00113,2024-12-29,Mumbai,Android,Organic,New
U00114,2024-05-16,Mumbai,Android,Paid Search,Returning
U00115,2024-12-07,Hyderabad,Android,Paid Search,New
U00116,2023-10-09,Kolkata,Android,Organic,Returning
U00117,2024-04-12,Delhi,iOS,Paid Search,Returning
U00118,2023-07-22,Hyderabad,Android,Organic,Returning
U00119,2024-12-15,Bengaluru,Android,Organic,New
U00120,2024-06-25,Mumbai,Android,Paid Social,Returning
U00121,2023-07-27,Delhi,Android,Organic,Returning
U00122,2023-12-16,Bengaluru,Android,Organic,Returning
U00123,2024-09-10,Kolkata,Android,Paid Search,New
U00124,2024-09-24,Kolkata,Android,Paid Search,New
U00125,2024-11-14,Delhi,Android,Referral,New
U00126,2024-10-23,Kolkata,iOS,Paid Social,New
U00127,2024-10-01,Delhi,Android,Paid Social,New
U00128,2024-11-17,Delhi,Android,Paid Search,New
U00129,2024-10-01,Hyderabad,iOS,Organic,New
U00130,2023-02-23,Delhi,Android,Organic,Returning
U00131,2024-10-09,Delhi,iOS,Paid Social,New
U00132,2023-03-20,Mumbai,iOS,Paid Search,Returning
U00133,2023-12-05,Bengaluru,iOS,Organic,Returning
U00134,2024-12-24,Delhi,Android,Paid Search,New
U00135,2024-01-20,Delhi,iOS,Paid Social,Returning
U00136,2024-11-23,Mumbai,Android,Paid Search,New
U00137,2024-02-19,Bengaluru,Android,Organic,Returning
U00138,2024-12-14,Bengaluru,iOS,Referral,New
U00139,2024-07-03,Hyderabad,Android,Organic,Returning
U00140,2024-09-09,Bengaluru,iOS,Referral,New
U00141,2024-11-22,Delhi,Android,Paid Search,New
U00142,2024-10-28,Hyderabad,Android,Referral,New
U00143,2024-03-29,Hyderabad,Android,Referral,Returning
U00144,2023-09-05,Bengaluru,iOS,Organic,Returning
U00145,2024-09-30,Hyderabad,Android,Paid Social,New
U00146,2024-10-20,Hyderabad,iOS,Organic,New
U00147,2024-12-10,Delhi,Android,Organic,New
U00148,2024-11-02,Hyderabad,iOS,Organic,New
U00149,2024-10-24,Hyderabad,Android,Paid Search,New
U00150,2024-12-25,Mumbai,iOS,Organic,New
U00151,2024-06-25,Mumbai,Android,Paid Search,Returning
U00152,2024-01-23,Hyderabad,Android,Referral,Returning
U00153,2024-11-19,Kolkata,iOS,Referral,New
U00154,2024-10-08,Mumbai,Android,Organic,New
U00155,2024-10-21,Hyderabad,Android,Paid Search,New
U00156,2024-08-07,Hyderabad,iOS,Organic,Returning
U00157,2024-09-10,Hyderabad,iOS,Organic,New
U00158,2023-04-18,Kolkata,iOS,Referral,Returning
U00159,2023-01-08,Bengaluru,iOS,Referral,Returning
U00160,2023-01-24,Bengaluru,iOS,Organic,Returning
U00161,2024-09-22,Mumbai,Android,Organic,New
U00162,2024-05-23,Delhi,Android,Organic,Returning
U00163,2024-11-01,Mumbai,iOS,Paid Search,New
U00164,2024-11-11,Hyderabad,Android,Organic,New
U00165,2024-10-10,Kolkata,Android,Organic,New
U00166,2024-12-16,Delhi,Android,Organic,New
U00167,2024-08-23,Hyderabad,Android,Organic,Returning
U00168,2023-10-15,Bengaluru,iOS,Paid Social,Returning
U00169,2024-12-01,Mumbai,Android,Paid Social,New
U00170,2023-02-13,Bengaluru,iOS,Paid Search,Returning
U00171,2024-10-11,Mumbai,iOS,Paid Search,New
U00172,2024-12-10,Mumbai,Android,Paid Social,New
U00173,2024-11-27,Hyderabad,Android,Organic,New
U00174,2024-04-13,Mumbai,Android,Referral,Returning
U00175,2024-09-18,Delhi,Android,Organic,New
U00176,2024-11-23,Bengaluru,Android,Referral,New
U00177,2024-10-27,Bengaluru,Android,Organic,New
U00178,2023-11-26,Kolkata,iOS,Paid Social,Returning
U00179,2023-07-09,Kolkata,Android,Organic,Returning
U00180,2024-04-24,Delhi,Android,Paid Social,Returning
U00181,2024-09-24,Bengaluru,Android,Paid Search,Returning
U00182,2023-05-19,Delhi,iOS,Organic,Returning
U00183,2024-12-03,Hyderabad,Android,Paid Social,New
U00184,2024-12-09,Delhi,Android,Organic,New
U00185,2024-03-17,Bengaluru,iOS,Paid Search,Returning
U00186,2024-02-09,Delhi,Android,Organic,Returning
U00187,2024-09-09,Delhi,Android,Paid Social,New
U00188,2024-09-18,Delhi,Android,Referral,New
U00189,2024-05-13,Bengaluru,iOS,Paid Search,Returning
U00190,2024-12-10,Mumbai,iOS,Paid Social,New
U00191,2024-03-27,Mumbai,Android,Referral,Returning
U00192,2024-09-21,Delhi,iOS,Paid Social,New
U00193,2024-11-10,Mumbai,iOS,Organic,New
U00194,2023-11-01,Mumbai,iOS,Paid Search,Returning
U00195,2024-12-18,Hyderabad,iOS,Organic,New
U00196,2024-09-25,Kolkata,iOS,Paid Search,New
U00197,2024-08-27,Bengaluru,Android,Organic,Returning
U00198,2023-04-29,Kolkata,Android,Paid Social,Returning
U00199,2024-12-23,Hyderabad,iOS,Paid Search,New
U00200,2024-09-08,Hyderabad,Android,Paid Search,New
U00201,2023-10-31,Delhi,Android,Organic,Returning
U00202,2023-11-04,Delhi,iOS,Organic,Returning
U00203,2024-12-31,Bengaluru,iOS,Paid Social,New
U00204,2024-12-25,Kolkata,iOS,Paid Search,New
U00205,2024-09-26,Mumbai,iOS,Referral,New
U00206,2024-10-02,Delhi,Android,Paid Search,New
U00207,2024-11-23,Mumbai,iOS,Organic,New
U00208,2024-06-03,Bengaluru,iOS,Paid Social,Returning
U00209,2024-12-03,Bengaluru,Android,Paid Social,New
U00210,2024-11-20,Mumbai,Android,Organic,New
U00211,2023-02-05,Mumbai,iOS,Paid Social,Returning
U00212,2024-08-18,Hyderabad,Android,Organic,Returning
U00213,2024-11-09,Mumbai,Android,Organic,New
U00214,2023-12-26,Mumbai,Android,Organic,Returning
U00215,2024-04-17,Hyderabad,Android,Paid Search,Returning
U00216,2024-03-06,Bengaluru,Android,Paid Social,Returning
U00217,2024-12-07,Hyderabad,iOS,Organic,New
U00218,2024-11-04,Hyderabad,Android,Paid Social,New
U00219,2023-03-30,Delhi,iOS,Paid Social,Returning
U00220,2024-11-12,Bengaluru,Android,Organic,New
U00221,2024-11-23,Bengaluru,Android,Organic,New
U00222,2024-10-27,Bengaluru,Android,Organic,New
U00223,2024-06-01,Mumbai,iOS,Organic,Returning
U00224,2024-01-27,Bengaluru,iOS,Referral,Returning
U00225,2024-12-26,Mumbai,Android,Paid Social,New
U00226,2024-09-15,Bengaluru,iOS,Organic,Returning
U00227,2024-09-09,Bengaluru,Android,Paid Search,New
U00228,2024-11-14,Delhi,Android,Organic,New
U00229,2024-04-09,Bengaluru,iOS,Organic,Returning
U00230,2024-11-30,Kolkata,Android,Organic,New
U00231,2024-09-21,Delhi,iOS,Organic,New
U00232,2024-11-22,Bengaluru,Android,Organic,New
U00233,2023-03-18,Bengaluru,iOS,Organic,Returning
U00234,2024-08-22,Delhi,Android,Organic,Returning
U00235,2023-07-12,Mumbai,Android,Paid Search,Returning
U00236,2023-07-04,Hyderabad,Android,Paid Search,Returning
U00237,2024-12-25,Delhi,iOS,Organic,New
U00238,2024-04-28,Mumbai,Android,Paid Search,Returning
U00239,2024-11-21,Mumbai,Android,Organic,New
U00240,2024-10-08,Hyderabad,Android,Referral,New
U00241,2024-09-10,Mumbai,Android,Organic,Returning
U00242,2023-05-01,Delhi,Android,Paid Search,Returning
U00243,2024-12-28,Hyderabad,iOS,Organic,New
U00244,2024-12-25,Hyderabad,Android,Organic,New
U00245,2023-03-01,Delhi,Android,Paid Search,Returning
U00246,2024-07-10,Kolkata,Android,Paid Social,Returning
U00247,2023-02-05,Kolkata,Android,Referral,Returning
U00248,2024-11-10,Bengaluru,Android,Paid Search,New
U00249,2024-10-23,Hyderabad,Android,Organic,New
U00250,2024-10-10,Mumbai,Android,Paid Social,New
U00251,2024-08-21,Mumbai,iOS,Organic,Returning
U00252,2023-04-30,Mumbai,Android,Paid Search,Returning
U00253,2024-09-05,Hyderabad,Android,Paid Social,New
U00254,2024-09-07,Mumbai,Android,Organic,New
U00255,2024-09-22,Mumbai,iOS,Paid Search,New
U00256,2024-01-20,Bengaluru,iOS,Organic,Returning
U00257,2024-03-15,Delhi,Android,Organic,Returning
U00258,2024-12-25,Kolkata,Android,Referral,New
U00259,2024-09-19,Hyderabad,Android,Organic,New
U00260,2023-07-07,Bengaluru,iOS,Organic,Returning
U00261,2024-11-25,Kolkata,Android,Paid Search,New
U00262,2023-10-06,Hyderabad,Android,Organic,Returning
U00263,2024-11-08,Mumbai,Android,Organic,New
U00264,2024-12-24,Bengaluru,Android,Organic,New
U00265,2023-11-02,Mumbai,Android,Paid Search,Returning
U00266,2024-12-22,Bengaluru,Android,Paid Search,New
U00267,2024-12-17,Delhi,iOS,Paid Social,New
U00268,2024-11-05,Mumbai,iOS,Organic,New
U00269,2024-12-24,Kolkata,Android,Referral,New
U00270,2024-11-22,Delhi,Android,Organic,New
U00271,2024-10-03,Kolkata,iOS,Organic,New
U00272,2024-10-22,Kolkata,iOS,Referral,New
U00273,2024-12-26,Bengaluru,iOS,Paid Social,New
U00274,2024-04-10,Bengaluru,iOS,Organic,Returning
U00275,2023-08-31,Hyderabad,Android,Organic,Returning
U00276,2024-09-08,Hyderabad,Android,Paid Social,New
U00277,2024-09-13,Delhi,Android,Organic,New
U00278,2024-11-01,Mumbai,Android,Organic,New
U00279,2024-03-08,Mumbai,Android,Paid Search,Returning
U00280,2023-05-08,Hyderabad,Android,Paid Social,Returning
U00281,2024-09-09,Hyderabad,Android,Paid Search,New
U00282,2024-12-17,Bengaluru,Android,Paid Search,New
U00283,2024-09-16,Bengaluru,iOS,Referral,New
U00284,2024-10-19,Bengaluru,Android,Organic,New
U00285,2023-08-11,Kolkata,Android,Paid Social,Returning
U00286,2024-09-20,Kolkata,Android,Organic,New
U00287,2024-12-29,Hyderabad,Android,Paid Social,New
U00288,2024-12-30,Bengaluru,Android,Paid Search,New
U00289,2024-11-18,Mumbai,Android,Organic,New
U00290,2024-10-29,Bengaluru,Android,Paid Search,New
U00291,2024-03-05,Delhi,iOS,Referral,Returning
U00292,2024-12-03,Delhi,Android,Paid Search,New
U00293,2024-06-12,Hyderabad,Android,Organic,Returning
U00294,2024-11-05,Bengaluru,iOS,Organic,New
U00295,2024-07-21,Mumbai,Android,Paid Search,Returning
U00296,2023-10-13,Kolkata,iOS,Paid Social,Returning
U00297,2023-07-05,Hyderabad,Android,Organic,Returning
U00298,2024-04-27,Bengaluru,Android,Organic,Returning
U00299,2024-04-06,Kolkata,Android,Paid Social,Returning
U00300,2023-10-29,Mumbai,Android,Organic,Returning
U00301,2023-05-16,Delhi,iOS,Organic,Returning
U00302,2024-12-07,Mumbai,Android,Organic,New
U00303,2024-12-24,Kolkata,Android,Paid Search,New
U00304,2024-09-24,Delhi,Android,Referral,New
U00305,2024-07-13,Mumbai,iOS,Paid Search,Returning
U00306,2024-10-20,Delhi,Android,Organic,New
U00307,2024-10-21,Bengaluru,Android,Paid Social,New
U00308,2024-09-02,Hyderabad,iOS,Organic,Returning
U00309,2024-11-13,Bengaluru,Android,Referral,New
U00310,2024-09-20,Delhi,Android,Organic,New
U00311,2024-11-28,Delhi,Android,Referral,New
U00312,2024-12-26,Delhi,Android,Referral,New
U00313,2024-09-23,Delhi,iOS,Referral,New
U00314,2024-12-29,Mumbai,Android,Organic,New
U00315,2024-10-11,Delhi,iOS,Paid Social,New
U00316,2024-09-23,Bengaluru,Android,Paid Social,New
U00317,2024-10-04,Kolkata,Android,Organic,New
U00318,2024-01-05,Kolkata,Android,Paid Search,Returning
U00319,2024-09-16,Delhi,Android,Paid Search,New
U00320,2024-06-25,Delhi,Android,Referral,Returning
U00321,2024-08-08,Bengaluru,Android,Paid Social,Returning
U00322,2024-12-30,Bengaluru,Android,Organic,New
U00323,2024-11-04,Delhi,iOS,Paid Search,New
U00324,2024-09-18,Kolkata,Android,Organic,New
U00325,2023-02-09,Hyderabad,Android,Organic,Returning
U00326,2023-02-23,Delhi,Android,Paid Social,Returning
U00327,2023-10-05,Kolkata,Android,Paid Search,Returning
U00328,2024-11-18,Delhi,Android,Paid Social,New
U00329,2024-09-15,Delhi,iOS,Paid Search,Returning
U00330,2024-12-06,Delhi,Android,Organic,New
U00331,2023-12-24,Bengaluru,Android,Paid Social,Returning
U00332,2024-11-22,Kolkata,Android,Organic,New
U00333,2023-10-16,Delhi,Android,Referral,Returning
U00334,2023-12-16,Mumbai,Android,Referral,Returning
U00335,2024-11-25,Delhi,Android,Referral,New
U00336,2024-01-10,Kolkata,Android,Referral,Returning
U00337,2024-09-29,Mumbai,Android,Paid Search,New
U00338,2024-05-09,Mumbai,iOS,Paid Search,Returning
U00339,2024-11-17,Bengaluru,Android,Paid Social,New
U00340,2024-08-16,Kolkata,Android,Organic,Returning
U00341,2024-11-22,Mumbai,Android,Paid Social,New
U00342,2024-02-02,Delhi,Android,Organic,Returning
U00343,2024-04-11,Kolkata,Android,Referral,Returning
U00344,2024-02-09,Bengaluru,Android,Paid Search,Returning
U00345,2023-03-13,Delhi,Android,Paid Social,Returning
U00346,2023-07-11,Mumbai,Android,Paid Search,Returning
U00347,2023-04-07,Delhi,Android,Paid Search,Returning
U00348,2024-10-30,Delhi,iOS,Referral,New
U00349,2024-01-26,Delhi,iOS,Organic,Returning
U00350,2024-11-20,Bengaluru,iOS,Organic,New
U00351,2023-07-25,Bengaluru,Android,Organic,Returning
U00352,2024-10-16,Bengaluru,iOS,Paid Search,New
U00353,2023-01-20,Kolkata,Android,Paid Search,Returning
U00354,2023-07-21,Mumbai,Android,Paid Search,Returning
U00355,2024-11-01,Mumbai,iOS,Organic,New
U00356,2024-10-08,Delhi,iOS,Organic,New
U00357,2023-01-07,Hyderabad,Android,Referral,Returning
U00358,2024-06-23,Bengaluru,iOS,Paid Social,Returning
U00359,2024-10-24,Delhi,Android,Organic,New
U00360,2023-03-29,Mumbai,Android,Organic,Returning
U00361,2023-09-24,Delhi,Android,Organic,Returning
U00362,2024-09-06,Hyderabad,Android,Paid Social,New
U00363,2024-11-12,Kolkata,iOS,Paid Social,New
U00364,2024-12-07,Hyderabad,Android,Paid Search,New
U00365,2023-01-15,Bengaluru,Android,Paid Search,Returning
U00366,2024-12-18,Bengaluru,iOS,Referral,New
U00367,2024-01-31,Bengaluru,iOS,Organic,Returning
U00368,2023-01-19,Hyderabad,iOS,Organic,Returning
U00369,2024-12-19,Kolkata,iOS,Organic,New
U00370,2024-01-17,Kolkata,iOS,Referral,Returning
U00371,2023-10-14,Delhi,Android,Paid Search,Returning
U00372,2024-10-29,Hyderabad,Android,Paid Search,New
U00373,2024-12-26,Mumbai,iOS,Paid Social,New
U00374,2024-09-06,Hyderabad,Android,Organic,New
U00375,2024-09-14,Mumbai,Android,Organic,New
U00376,2024-09-19,Bengaluru,Android,Paid Search,New
U00377,2024-04-03,Bengaluru,Android,Referral,Returning
U00378,2024-10-08,Kolkata,Android,Organic,New
U00379,2024-12-31,Delhi,iOS,Paid Search,New
U00380,2023-05-14,Delhi,Android,Referral,Returning
U00381,2024-09-28,Delhi,Android,Paid Social,New
U00382,2023-05-10,Delhi,Android,Paid Search,Returning
U00383,2023-04-05,Kolkata,Android,Organic,Returning
U00384,2024-09-12,Bengaluru,Android,Organic,New
U00385,2024-12-09,Bengaluru,Android,Organic,New
U00386,2023-07-17,Hyderabad,Android,Organic,Returning
U00387,2023-02-07,Mumbai,Android,Paid Social,Returning
U00388,2024-03-12,Bengaluru,Android,Paid Social,Returning
U00389,2024-10-12,Bengaluru,Android,Paid Social,New
U00390,2023-03-21,Bengaluru,Android,Organic,Returning
U00391,2023-09-17,Delhi,Android,Organic,Returning
U00392,2024-11-02,Bengaluru,Android,Paid Social,New
U00393,2024-02-22,Bengaluru,Android,Organic,Returning
U00394,2024-04-24,Hyderabad,iOS,Organic,Returning
U00395,2024-12-08,Hyderabad,iOS,Organic,New
U00396,2024-10-05,Kolkata,Android,Organic,New
U00397,2023-04-15,Delhi,Android,Organic,Returning
U00398,2024-12-04,Delhi,Android,Organic,New
U00399,2024-12-30,Kolkata,Android,Referral,New
U00400,2024-12-10,Hyderabad,Android,Organic,New
U00401,2024-11-02,Mumbai,Android,Paid Search,New
U00402,2023-11-19,Bengaluru,Android,Paid Search,Returning
U00403,2024-09-07,Delhi,iOS,Paid Search,Returning
U00404,2024-10-24,Mumbai,iOS,Paid Search,New
U00405,2023-10-14,Mumbai,iOS,Organic,Returning
U00406,2023-08-08,Bengaluru,iOS,Organic,Returning
U00407,2024-12-28,Kolkata,Android,Paid Search,New
U00408,2024-09-14,Mumbai,Android,Referral,Returning
U00409,2024-10-03,Mumbai,Android,Organic,New
U00410,2024-03-16,Bengaluru,Android,Paid Search,Returning
U00411,2023-04-01,Hyderabad,Android,Referral,Returning
U00412,2024-01-10,Hyderabad,Android,Paid Social,Returning
U00413,2024-11-24,Bengaluru,Android,Paid Social,New
U00414,2023-03-11,Mumbai,iOS,Paid Search,Returning
U00415,2024-11-29,Mumbai,Android,Referral,New
U00416,2024-11-07,Hyderabad,Android,Paid Search,New
U00417,2024-12-18,Bengaluru,iOS,Paid Search,New
U00418,2023-01-19,Kolkata,iOS,Paid Social,Returning
U00419,2024-09-20,Delhi,Android,Organic,New
U00420,2023-05-11,Bengaluru,Android,Referral,Returning
U00421,2024-06-02,Bengaluru,iOS,Referral,Returning
U00422,2024-11-29,Bengaluru,Android,Paid Search,New
U00423,2024-11-12,Delhi,Android,Organic,New
U00424,2024-11-04,Mumbai,iOS,Paid Social,New
U00425,2023-04-27,Hyderabad,Android,Organic,Returning
U00426,2024-01-05,Bengaluru,Android,Paid Search,Returning
U00427,2024-11-27,Kolkata,Android,Organic,New
U00428,2024-03-27,Bengaluru,Android,Paid Social,Returning
U00429,2024-12-18,Mumbai,Android,Referral,New
U00430,2023-08-11,Kolkata,Android,Organic,Returning
U00431,2023-09-14,Hyderabad,Android,Paid Social,Returning
U00432,2024-02-09,Mumbai,Android,Referral,Returning
U00433,2023-09-03,Hyderabad,iOS,Organic,Returning
U00434,2023-03-13,Bengaluru,iOS,Organic,Returning
U00435,2024-09-25,Bengaluru,Android,Organic,New
U00436,2024-11-23,Delhi,iOS,Paid Social,New
U00437,2024-11-28,Bengaluru,Android,Paid Search,New
U00438,2024-10-13,Delhi,Android,Organic,New
U00439,2024-04-05,Bengaluru,Android,Organic,Returning
U00440,2023-06-06,Kolkata,Android,Paid Search,Returning
U00441,2024-07-23,Kolkata,Android,Organic,Returning
U00442,2024-12-27,Hyderabad,Android,Paid Search,New
U00443,2023-05-28,Hyderabad,Android,Organic,Returning
U00444,2024-11-12,Bengaluru,Android,Paid Social,New
U00445,2024-12-02,Bengaluru,Android,Paid Social,New
U00446,2023-07-28,Mumbai,Android,Referral,Returning
U00447,2023-09-23,Mumbai,Android,Organic,Returning
U00448,2023-10-09,Delhi,Android,Paid Search,Returning
U00449,2024-10-04,Delhi,Android,Paid Social,New
U00450,2024-07-29,Mumbai,iOS,Paid Search,Returning
U00451,2024-12-05,Bengaluru,iOS,Organic,New
U00452,2023-12-09,Delhi,iOS,Organic,Returning
U00453,2023-10-10,Delhi,Android,Paid Search,Returning
U00454,2024-12-01,Mumbai,Android,Paid Search,New
U00455,2024-10-13,Kolkata,iOS,Referral,New
U00456,2024-09-30,Mumbai,Android,Paid Social,New
U00457,2023-04-07,Hyderabad,Android,Paid Social,Returning
U00458,2025-01-01,Hyderabad,Android,Referral,New
U00459,2023-03-28,Bengaluru,Android,Paid Social,Returning
U00460,2024-04-10,Mumbai,Android,Organic,Returning
U00461,2023-05-16,Mumbai,Android,Organic,Returning
U00462,2024-10-22,Mumbai,Android,Paid Social,New
U00463,2023-10-14,Bengaluru,Android,Organic,Returning
U00464,2024-09-13,Kolkata,Android,Referral,New
U00465,2024-06-27,Kolkata,iOS,Organic,Returning
U00466,2024-03-19,Bengaluru,Android,Organic,Returning
U00467,2024-06-08,Bengaluru,Android,Paid Social,Returning
U00468,2023-04-19,Bengaluru,Android,Paid Social,Returning
U00469,2024-11-22,Hyderabad,Android,Referral,New
U00470,2025-01-01,Mumbai,iOS,Organic,New
U00471,2024-11-07,Bengaluru,Android,Organic,New
U00472,2024-10-19,Hyderabad,Android,Paid Search,New
U00473,2024-09-05,Delhi,Android,Referral,New
U00474,2024-11-13,Delhi,Android,Organic,New
U00475,2024-09-29,Delhi,Android,Paid Search,New
U00476,2024-11-10,Mumbai,iOS,Organic,New
U00477,2024-10-13,Mumbai,Android,Paid Social,New
U00478,2023-02-01,Delhi,iOS,Organic,Returning
U00479,2024-04-16,Delhi,Android,Referral,Returning
U00480,2024-10-12,Kolkata,Android,Organic,New
U00481,2024-09-24,Mumbai,iOS,Paid Social,New
U00482,2024-12-09,Kolkata,Android,Paid Social,New
U00483,2023-02-05,Mumbai,iOS,Organic,Returning
U00484,2024-09-04,Hyderabad,Android,Organic,New
U00485,2024-09-07,Delhi,Android,Paid Search,New
U00486,2024-12-02,Hyderabad,Android,Paid Search,New
U00487,2024-11-11,Delhi,Android,Paid Social,New
U00488,2024-10-11,Bengaluru,iOS,Paid Search,New
U00489,2023-12-09,Bengaluru,Android,Organic,Returning
U00490,2024-01-30,Bengaluru,Android,Referral,Returning
U00491,2023-03-05,Kolkata,iOS,Organic,Returning
U00492,2023-07-14,Kolkata,Android,Paid Search,Returning
U00493,2023-09-10,Hyderabad,iOS,Referral,Returning
