session_id,user_id,session_start,device,city,cart_value,delivery_fee
S000080,U00048,2025-02-03T22:55:00,iOS,Delhi,588.16,19.0
S000081,U00048,2025-01-27T07:36:00,iOS,Delhi,580.58,39.0
S000082,U00049,2025-05-06T08:32:00,Android,Mumbai,1335.3,0.0
S000083,U00049,2025-04-26T19:20:00,Android,Mumbai,765.03,39.0
S000084,U00049,2025-01-22T19:20:00,Android,Mumbai,586.4,19.0
S000085,U00050,2025-06-21T11:26:00,Android,Delhi,936.67,0.0
S000086,U00050,2025-02-07T12:52:00,Android,Delhi,543.39,0.0
S000087,U00051,2025-04-01T13:35:00,Android,Kolkata,559.25,59.0
S000088,U00052,2025-03-27T09:22:00,iOS,Bengaluru,748.46,39.0
S000089,U00053,2025-04-07T20:17:00,iOS,Delhi,737.17,0.0
S000090,U00053,2025-01-02T15:53:00,iOS,Delhi,817.16,19.0
S000091,U00054,2025-03-01T12:49:00,iOS,Delhi,1162.21,0.0
S000092,U00054,2025-05-06T14:48:00,iOS,Delhi,621.1,69.0
S000093,U00055,2025-06-08T16:30:00,Android,Bengaluru,935.48,0.0
S000094,U00055,2025-06-30T10:42:00,Android,Bengaluru,883.28,29.0
S000095,U00056,2025-04-22T15:45:00,Android,Delhi,787.32,39.0
S000096,U00056,2025-05-10T13:14:00,Android,Delhi,902.45,0.0
S000097,U00057,2025-04-02T12:41:00,Android,Hyderabad,1896.55,0.0
S000098,U00058,2025-02-13T21:07:00,Android,Bengaluru,715.94,29.0
S000099,U00058,2025-06-30T11:50:00,Android,Bengaluru,436.48,69.0
S000100,U00059,2025-01-10T21:08:00,Android,Mumbai,728.48,59.0
S000101,U00059,2025-05-29T16:52:00,Android,Mumbai,409.2,39.0
S000102,U00060,2025-05-19T21:04:00,Android,Delhi,669.52,49.0
S000103,U00060,2025-06-06T10:28:00,Android,Delhi,657.71,49.0
S000104,U00061,2025-02-20T21:17:00,Android,Bengaluru,952.99,39.0
S000105,U00061,2025-02-07T22:02:00,Android,Bengaluru,944.92,49.0
S000106,U00061,2025-03-13T20:27:00,Android,Bengaluru,819.41,49.0
S000107,U00062,2025-04-17T19:03:00,Android,Bengaluru,736.51,39.0
S000108,U00063,2025-01-05T19:59:00,iOS,Delhi,849.66,19.0
S000109,U00063,2025-02-09T13:50:00,iOS,Delhi,539.76,69.0
S000110,U00063,2025-05-14T09:10:00,iOS,Delhi,763.01,49.0
S000111,U00064,2025-03-31T22:28:00,Android,Bengaluru,1160.28,0.0
S000112,U00065,2025-06-03T07:00:00,Android,Delhi,744.35,29.0
S000113,U00066,2025-03-03T16:20:00,Android,Hyderabad,510.68,0.0
S000114,U00066,2025-04-03T17:40:00,Android,Hyderabad,1058.85,0.0
S000115,U00067,2025-04-18T07:40:00,iOS,Hyderabad,1058.78,0.0
S000116,U00068,2025-02-07T08:47:00,iOS,Kolkata,799.06,0.0
S000117,U00069,2025-01-11T21:54:00,Android,Delhi,567.71,29.0
S000118,U00069,2025-04-21T22:18:00,Android,Delhi,617.59,29.0
S000119,U00070,2025-03-21T18:54:00,iOS,Hyderabad,325.31,0.0
S000120,U00070,2025-05-17T20:41:00,iOS,Hyderabad,366.64,39.0
S000121,U00071,2025-01-12T16:08:00,Android,Mumbai,901.22,0.0
S000122,U00072,2025-01-03T08:12:00,Android,Bengaluru,566.37,39.0
S000123,U00073,2025-02-12T18:18:00,Android,Delhi,429.44,49.0
S000124,U00073,2025-03-27T14:39:00,Android,Delhi,853.41,39.0
S000125,U00073,2025-03-31T15:17:00,Android,Delhi,610.65,29.0
S000126,U00073,2025-04-10T12:34:00,Android,Delhi,1021.69,19.0
S000127,U00074,2025-03-08T08:19:00,Android,Mumbai,247.02,39.0
S000128,U00075,2025-05-08T18:01:00,Android,Hyderabad,500.13,19.0
S000129,U00075,2025-05-25T14:19:00,Android,Hyderabad,585.87,59.0
S000130,U00076,2025-04-18T16:54:00,Android,Delhi,662.36,0.0
S000131,U00077,2025-02-21T14:30:00,Android,Bengaluru,509.41,0.0
S000132,U00077,2025-04-07T21:33:00,Android,Bengaluru,546.57,69.0
S000133,U00078,2025-02-20T22:25:00,Android,Kolkata,964.53,0.0
S000134,U00079,2025-06-20T21:45:00,Android,Bengaluru,634.36,0.0
S000135,U00080,2025-01-01T19:15:00,Android,Kolkata,772.44,39.0
S000136,U00080,2025-03-15T13:21:00,Android,Kolkata,1315.03,0.0
S000137,U00080,2025-02-06T19:27:00,Android,Kolkata,860.91,49.0
S000138,U00080,2025-06-08T10:29:00,Android,Kolkata,1467.93,29.0
S000139,U00081,2025-04-04T19:42:00,Android,Hyderabad,1370.77,0.0
S000140,U00081,2025-01-24T17:42:00,Android,Hyderabad,256.02,59.0
S000141,U00082,2025-01-06T22:12:00,Android,Hyderabad,762.31,19.0
S000142,U00083,2025-03-18T17:58:00,Android,Hyderabad,1382.56,0.0
S000143,U00083,2025-03-09T17:18:00,Android,Hyderabad,1038.23,0.0
S000144,U00083,2025-03-28T07:09:00,Android,Hyderabad,921.81,0.0
S000145,U00084,2025-01-14T13:33:00,Android,Bengaluru,803.6,19.0
S000146,U00085,2025-03-01T08:37:00,Android,Mumbai,1019.92,49.0
S000147,U00086,2025-02-19T11:09:00,Android,Hyderabad,760.19,59.0
S000148,U00086,2025-06-02T18:02:00,Android,Hyderabad,956.55,0.0
S000149,U00087,2025-06-14T19:55:00,Android,Hyderabad,767.03,59.0
S000150,U00088,2025-02-27T11:36:00,Android,Delhi,522.66,69.0
S000151,U00088,2025-03-19T13:34:00,Android,Delhi,725.0,69.0
S000152,U00089,2025-05-13T09:53:00,Android,Bengaluru,355.37,0.0
S000153,U00090,2025-05-02T19:25:00,Android,Delhi,525.42,49.0
S000154,U00090,2025-06-04T15:23:00,Android,Delhi,887.98,19.0
S000155,U00091,2025-04-26T12:02:00,Android,Delhi,645.79,59.0
S000156,U00092,2025-06-26T10:22:00,Android,Mumbai,708.74,69.0
S000157,U00093,2025-06-01T17:28:00,iOS,Hyderabad,544.74,39.0
S000158,U00094,2025-01-29T21:16:00,Android,Hyderabad,458.18,49.0
S000159,U00094,2025-06-27T20:33:00,Android,Hyderabad,571.37,39.0
S000160,U00095,2025-06-04T17:15:00,Android,Mumbai,754.5,39.0
S000161,U00096,2025-06-14T10:23:00,Android,Delhi,1208.03,0.0
S000162,U00096,2025-03-26T21:16:00,Android,Delhi,1020.12,0.0
S000163,U00096,2025-04-13T18:08:00,Android,Delhi,344.05,39.0
S000164,U00097,2025-02-08T15:08:00,iOS,Delhi,541.93,19.0
S000165,U00098,2025-05-05T19:54:00,Android,Delhi,628.03,49.0
S000166,U00098,2025-01-13T12:37:00,Android,Delhi,1082.85,59.0
S000167,U00098,2025-05-28T16:32:00,Android,Delhi,1185.02,0.0
S000168,U00099,2025-02-04T22:48:00,iOS,Bengaluru,844.15,39.0
S000169,U00099,2025-02-17T15:18:00,iOS,Bengaluru,481.21,29.0
S000170,U00100,2025-01-01T19:32:00,Android,Bengaluru,1588.37,0.0
S000171,U00100,2025-04-25T20:50:00,Android,Bengaluru,687.93,39.0
S000172,U00100,2025-06-02T08:50:00,Android,Bengaluru,925.73,69.0
S000173,U00100,2025-06-14T09:33:00,Android,Bengaluru,922.28,0.0
S000174,U00101,2025-01-13T13:07:00,Android,Delhi,908.93,39.0
S000175,U00101,2025-05-12T18:26:00,Android,Delhi,966.19,0.0
S000176,U00101,2025-06-07T07:32:00,Android,Delhi,800.72,0.0
S000177,U00102,2025-01-07T17:34:00,Android,Bengaluru,1172.93,0.0
S000178,U00102,2025-01-28T12:38:00,Android,Bengaluru,962.47,0.0
S000179,U00102,2025-04-27T11:47:00,Android,Bengaluru,889.42,19.0
S000180,U00102,2025-01-30T16:25:00,Android,Bengaluru,861.05,29.0
S000181,U00103,2025-06-22T18:26:00,iOS,Mumbai,518.73,49.0
S000182,U00104,2025-06-04T21:23:00,iOS,Bengaluru,717.88,29.0
S000183,U00104,2025-05-24T16:36:00,iOS,Bengaluru,789.54,69.0
S000184,U00105,2025-05-01T10:30:00,iOS,Delhi,921.75,59.0
S000185,U00105,2025-01-07T07:21:00,iOS,Delhi,973.32,0.0
S000186,U00105,2025-01-21T21:36:00,iOS,Delhi,542.89,49.0
S000187,U00106,2025-01-22T18:56:00,Android,Bengaluru,633.87,19.0
S000188,U00107,2025-03-18T19:55:00,iOS,Mumbai,414.97,49.0
S000189,U00108,2025-06-21T14:01:00,Android,Mumbai,843.48,59.0
S000190,U00109,2025-04-29T17:22:00,Android,Delhi,1031.87,39.0
S000191,U00110,2025-06-10T17:14:00,Android,Bengaluru,931.59,0.0
S000192,U00110,2025-04-03T09:49:00,Android,Bengaluru,1239.21,0.0
S000193,U00111,2025-05-08T10:13:00,iOS,Kolkata,259.25,29.0
S000194,U00112,2025-03-08T16:58:00,Android,Mumbai,721.91,39.0
S000195,U00113,2025-01-31T14:42:00,Android,Mumbai,530.23,39.0
S000196,U00113,2025-05-12T11:54:00,Android,Mumbai,492.02,39.0
S000197,U00114,2025-03-15T10:27:00,Android,Mumbai,839.81,49.0
S000198,U00115,2025-03-05T17:15:00,Android,Hyderabad,616.81,49.0
S000199,U00115,2025-02-28T09:27:00,Android,Hyderabad,955.16,0.0
S000200,U00116,2025-05-19T16:55:00,Android,Kolkata,814.41,49.0
S000201,U00116,2025-05-06T10:12:00,Android,Kolkata,642.01,49.0
S000202,U00116,2025-03-20T15:23:00,Android,Kolkata,669.07,0.0
S000203,U00116,2025-06-03T07:31:00,Android,Kolkata,704.02,49.0
S000204,U00117,2025-04-15T20:11:00,iOS,Delhi,373.94,29.0
S000205,U00117,2025-06-14T18:37:00,iOS,Delhi,510.78,0.0
S000206,U00118,2025-01-25T21:18:00,Android,Hyderabad,895.8,19.0
S000207,U00119,2025-01-21T22:22:00,Android,Bengaluru,604.67,49.0
S000208,U00119,2025-05-07T08:15:00,Android,Bengaluru,482.9,29.0
S000209,U00120,2025-04-29T13:25:00,Android,Mumbai,1063.06,0.0
S000210,U00120,2025-03-16T07:34:00,Android,Mumbai,854.39,19.0
S000211,U00120,2025-01-04T22:02:00,Android,Mumbai,1114.75,59.0
S000212,U00120,2025-05-22T07:38:00,Android,Mumbai,472.28,39.0
S000213,U00121,2025-06-12T19:51:00,Android,Delhi,1353.89,0.0
S000214,U00122,2025-01-03T07:30:00,Android,Bengaluru,588.35,29.0
S000215,U00123,2025-02-13T15:43:00,Android,Kolkata,966.36,19.0
S000216,U00124,2025-05-17T19:02:00,Android,Kolkata,1045.58,0.0
S000217,U00125,2025-02-12T20:46:00,Android,Delhi,1189.66,0.0
S000218,U00126,2025-05-17T16:41:00,iOS,Kolkata,685.34,29.0
S000219,U00127,2025-02-16T18:30:00,Android,Delhi,640.16,49.0
S000220,U00128,2025-06-16T20:08:00,Android,Delhi,897.24,59.0
S000221,U00129,2025-01-02T21:26:00,iOS,Hyderabad,511.69,69.0
S000222,U00129,2025-06-13T07:48:00,iOS,Hyderabad,419.9,19.0
S000223,U00130,2025-03-30T18:35:00,Android,Delhi,1085.29,0.0
S000224,U00131,2025-05-24T07:13:00,iOS,Delhi,1443.2,0.0
S000225,U00132,2025-05-30T20:34:00,iOS,Mumbai,578.05,49.0
S000226,U00132,2025-05-23T21:48:00,iOS,Mumbai,1120.8,59.0
S000227,U00132,2025-01-18T16:08:00,iOS,Mumbai,417.15,19.0
S000228,U00132,2025-04-12T11:27:00,iOS,Mumbai,974.86,29.0
S000229,U00133,2025-04-28T12:33:00,iOS,Bengaluru,1068.41,0.0
S000230,U00133,2025-03-28T13:08:00,iOS,Bengaluru,824.36,39.0
S000231,U00134,2025-04-06T09:07:00,Android,Delhi,261.28,39.0
S000232,U00135,2025-03-29T18:47:00,iOS,Delhi,1075.02,0.0
S000233,U00135,2025-06-02T14:35:00,iOS,Delhi,487.31,39.0
S000234,U00136,2025-02-18T17:54:00,Android,Mumbai,431.6,29.0
S000235,U00137,2025-06-23T13:17:00,Android,Bengaluru,1464.37,0.0
S000236,U00137,2025-06-26T20:49:00,Android,Bengaluru,647.05,29.0
S000237,U00137,2025-05-07T09:04:00,Android,Bengaluru,810.96,59.0
S000238,U00138,2025-05-20T13:41:00,iOS,Bengaluru,1195.07,0.0
S000239,U00139,2025-01-28T11:45:00,Android,Hyderabad,753.49,49.0
S000240,U00140,2025-03-08T17:09:00,iOS,Bengaluru,370.66,59.0
S000241,U00141,2025-05-05T21:47:00,Android,Delhi,1075.42,0.0
S000242,U00142,2025-03-09T19:24:00,Android,Hyderabad,763.3,39.0
S000243,U00142,2025-06-28T08:58:00,Android,Hyderabad,481.41,19.0
S000244,U00143,2025-04-10T11:51:00,Android,Hyderabad,720.11,39.0
S000245,U00143,2025-05-09T21:46:00,Android,Hyderabad,587.36,0.0
S000246,U00144,2025-06-03T22:19:00,iOS,Bengaluru,403.36,49.0
S000247,U00144,2025-03-03T13:34:00,iOS,Bengaluru,759.27,19.0
S000248,U00145,2025-02-16T11:43:00,Android,Hyderabad,722.97,19.0
S000249,U00146,2025-06-11T20:21:00,iOS,Hyderabad,1058.12,39.0
S000250,U00146,2025-02-19T07:15:00,iOS,Hyderabad,293.64,69.0
S000251,U00146,2025-04-02T14:42:00,iOS,Hyderabad,568.14,49.0
S000252,U00147,2025-03-31T22:02:00,Android,Delhi,537.02,19.0
S000253,U00147,2025-03-31T21:02:00,Android,Delhi,384.38,59.0
S000254,U00148,2025-05-12T13:19:00,iOS,Hyderabad,1068.37,19.0
S000255,U00149,2025-05-31T12:12:00,Android,Hyderabad,608.82,39.0
S000256,U00150,2025-05-17T15:31:00,iOS,Mumbai,975.96,0.0
S000257,U00150,2025-03-30T19:16:00,iOS,Mumbai,540.47,39.0
S000258,U00151,2025-02-24T07:07:00,Android,Mumbai,399.45,49.0
S000259,U00151,2025-03-08T19:56:00,Android,Mumbai,531.18,29.0
S000260,U00152,2025-05-02T12:20:00,Android,Hyderabad,551.24,49.0
S000261,U00153,2025-04-07T10:26:00,iOS,Kolkata,508.58,59.0
S000262,U00154,2025-01-14T15:16:00,Android,Mumbai,609.44,39.0
S000263,U00155,2025-04-29T20:30:00,Android,Hyderabad,630.66,39.0
S000264,U00156,2025-06-20T13:03:00,iOS,Hyderabad,736.93,69.0
S000265,U00156,2025-05-01T19:28:00,iOS,Hyderabad,755.11,49.0
S000266,U00157,2025-01-19T12:52:00,iOS,Hyderabad,821.49,29.0
S000267,U00158,2025-06-24T21:31:00,iOS,Kolkata,750.54,0.0
S000268,U00159,2025-02-15T15:15:00,iOS,Bengaluru,801.98,69.0
S000269,U00159,2025-02-27T19:57:00,iOS,Bengaluru,526.86,29.0
S000270,U00159,2025-04-24T21:04:00,iOS,Bengaluru,665.13,19.0
S000271,U00160,2025-04-10T09:13:00,iOS,Bengaluru,541.92,69.0
S000272,U00161,2025-04-05T08:59:00,Android,Mumbai,409.54,29.0
S000273,U00162,2025-06-23T13:24:00,Android,Delhi,878.64,39.0
S000274,U00163,2025-01-15T13:56:00,iOS,Mumbai,395.22,39.0
S000275,U00164,2025-01-10T15:07:00,Android,Hyderabad,807.45,49.0
S000276,U00165,2025-06-07T15:02:00,Android,Kolkata,514.49,0.0
S000277,U00166,2025-01-22T11:50:00,Android,Delhi,930.7,49.0
S000278,U00166,2025-04-08T22:45:00,Android,Delhi,598.51,29.0
S000279,U00167,2025-03-09T10:32:00,Android,Hyderabad,852.32,49.0
S000280,U00167,2025-02-04T07:07:00,Android,Hyderabad,635.64,29.0
S000281,U00167,2025-05-05T12:42:00,Android,Hyderabad,522.17,69.0
S000282,U00168,2025-03-24T08:35:00,iOS,Bengaluru,895.0,39.0
S000283,U00168,2025-04-15T21:08:00,iOS,Bengaluru,656.51,19.0
S000284,U00169,2025-06-22T12:26:00,Android,Mumbai,761.62,29.0
S000285,U00170,2025-06-29T08:03:00,iOS,Bengaluru,1533.35,49.0
S000286,U00171,2025-05-17T16:03:00,iOS,Mumbai,1180.32,0.0
S000287,U00171,2025-04-03T09:44:00,iOS,Mumbai,474.87,59.0
S000288,U00172,2025-02-15T16:42:00,Android,Mumbai,680.5,49.0
S000289,U00172,2025-05-17T13:21:00,Android,Mumbai,694.37,39.0
S000290,U00173,2025-06-08T12:05:00,Android,Hyderabad,557.21,69.0
S000291,U00174,2025-05-27T22:25:00,Android,Mumbai,610.4,29.0
S000292,U00174,2025-03-02T10:32:00,Android,Mumbai,447.78,39.0
S000293,U00174,2025-06-25T19:14:00,Android,Mumbai,583.43,29.0
S000294,U00174,2025-05-12T07:29:00,Android,Mumbai,694.98,59.0
S000295,U00175,2025-04-01T20:18:00,Android,Delhi,635.61,39.0
S000296,U00176,2025-06-19T11:30:00,Android,Bengaluru,665.07,39.0
S000297,U00177,2025-03-20T19:56:00,Android,Bengaluru,302.81,69.0
S000298,U00177,2025-05-21T08:33:00,Android,Bengaluru,1125.06,0.0
S000299,U00178,2025-04-15T10:36:00,iOS,Kolkata,1839.09,0.0
S000300,U00179,2025-05-19T14:56:00,Android,Kolkata,563.98,39.0
S000301,U00180,2025-05-23T11:57:00,Android,Delhi,1043.1,49.0
S000302,U00181,2025-06-30T15:38:00,Android,Bengaluru,813.25,0.0
S000303,U00181,2025-02-17T09:21:00,Android,Bengaluru,1053.88,0.0
S000304,U00181,2025-01-19T13:05:00,Android,Bengaluru,418.21,39.0
S000305,U00181,2025-05-31T15:08:00,Android,Bengaluru,1034.36,39.0
S000306,U00182,2025-05-31T10:52:00,iOS,Delhi,703.32,0.0
S000307,U00182,2025-03-18T08:13:00,iOS,Delhi,1075.34,49.0
S000308,U00182,2025-05-22T09:02:00,iOS,Delhi,587.82,59.0
S000309,U00183,2025-04-23T10:29:00,Android,Hyderabad,1034.53,0.0
S000310,U00184,2025-04-19T10:03:00,Android,Delhi,1502.6,0.0
S000311,U00185,2025-06-23T17:10:00,iOS,Bengaluru,470.85,29.0
S000312,U00185,2025-02-28T12:25:00,iOS,Bengaluru,792.83,49.0
S000313,U00185,2025-02-11T17:56:00,iOS,Bengaluru,504.74,49.0
S000314,U00185,2025-06-25T11:09:00,iOS,Bengaluru,1093.74,0.0
S000315,U00185,2025-05-24T22:44:00,iOS,Bengaluru,302.55,49.0
S000316,U00185,2025-03-15T14:13:00,iOS,Bengaluru,664.47,29.0
S000317,U00186,2025-01-25T07:38:00,Android,Delhi,645.47,19.0
S000318,U00186,2025-03-19T14:56:00,Android,Delhi,1587.86,0.0
S000319,U00186,2025-01-11T22:03:00,Android,Delhi,1076.53,0.0
S000320,U00187,2025-06-04T22:06:00,Android,Delhi,399.99,39.0
S000321,U00188,2025-04-29T16:48:00,Android,Delhi,830.28,19.0
S000322,U00188,2025-01-18T20:07:00,Android,Delhi,381.63,19.0
S000323,U00189,2025-01-04T13:57:00,iOS,Bengaluru,829.86,19.0
S000324,U00190,2025-01-20T07:29:00,iOS,Mumbai,476.25,39.0
S000325,U00190,2025-06-21T18:32:00,iOS,Mumbai,488.67,39.0
S000326,U00191,2025-03-03T19:48:00,Android,Mumbai,931.9,0.0
S000327,U00192,2025-04-30T07:32:00,iOS,Delhi,995.62,0.0
S000328,U00193,2025-04-14T08:14:00,iOS,Mumbai,1075.27,0.0
S000329,U00194,2025-01-25T10:07:00,iOS,Mumbai,895.57,39.0
S000330,U00194,2025-02-26T07:17:00,iOS,Mumbai,504.46,69.0
S000331,U00195,2025-06-08T07:16:00,iOS,Hyderabad,424.15,0.0
S000332,U00196,2025-05-29T13:20:00,iOS,Kolkata,516.82,39.0
S000333,U00197,2025-02-28T13:26:00,Android,Bengaluru,564.59,49.0
S000334,U00198,2025-04-27T10:38:00,Android,Kolkata,839.66,49.0
S000335,U00198,2025-05-24T12:57:00,Android,Kolkata,590.01,59.0
S000336,U00198,2025-03-21T09:55:00,Android,Kolkata,1002.4,0.0
S000337,U00198,2025-02-13T13:52:00,Android,Kolkata,489.68,49.0
S000338,U00198,2025-05-13T12:42:00,Android,Kolkata,1302.14,0.0
S000339,U00198,2025-01-30T13:16:00,Android,Kolkata,1061.38,0.0
S000340,U00199,2025-05-10T18:17:00,iOS,Hyderabad,837.55,49.0
S000341,U00199,2025-01-04T20:45:00,iOS,Hyderabad,241.21,49.0
S000342,U00199,2025-03-04T20:13:00,iOS,Hyderabad,765.03,59.0
S000343,U00200,2025-06-03T12:24:00,Android,Hyderabad,426.45,49.0
S000344,U00200,2025-04-05T08:41:00,Android,Hyderabad,336.98,29.0
S000345,U00201,2025-04-19T08:48:00,Android,Delhi,1272.96,59.0
S000346,U00201,2025-02-22T11:47:00,Android,Delhi,720.05,39.0
S000347,U00201,2025-02-03T15:18:00,Android,Delhi,1295.8,0.0
S000348,U00202,2025-05-25T20:21:00,iOS,Delhi,602.84,39.0
S000349,U00202,2025-04-01T16:21:00,iOS,Delhi,623.91,49.0
S000350,U00202,2025-01-14T21:59:00,iOS,Delhi,943.45,49.0
S000351,U00202,2025-06-09T22:19:00,iOS,Delhi,1197.8,59.0
S000352,U00202,2025-02-13T13:20:00,iOS,Delhi,762.81,39.0
S000353,U00203,2025-04-13T10:24:00,iOS,Bengaluru,595.16,59.0
S000354,U00203,2025-06-04T09:44:00,iOS,Bengaluru,654.0,0.0
S000355,U00204,2025-03-06T07:34:00,iOS,Kolkata,593.53,59.0
S000356,U00205,2025-04-05T09:41:00,iOS,Mumbai,1028.67,0.0
S000357,U00205,2025-05-21T07:31:00,iOS,Mumbai,1143.38,0.0
S000358,U00206,2025-04-05T08:15:00,Android,Delhi,1413.79,0.0
S000359,U00207,2025-01-04T20:05:00,iOS,Mumbai,338.86,0.0
