experiment_session_id,variant,checkout_started,payment_attempt,payment_failed,order_completed,order_value
EXP00220,Treatment,1,1,0,1,952.06
EXP00221,Control,0,0,0,0,0.0
EXP00222,Control,1,1,0,1,833.27
EXP00223,Treatment,1,1,0,1,1157.66
EXP00224,Treatment,1,1,1,0,0.0
EXP00225,Control,1,1,0,1,1078.43
EXP00226,Control,1,0,0,0,0.0
EXP00227,Control,1,1,0,1,1056.24
EXP00228,Control,1,1,0,1,976.14
EXP00229,Control,1,1,0,1,1200.18
EXP00230,Treatment,0,0,0,0,0.0
EXP00231,Control,0,0,0,0,0.0
EXP00232,Control,1,1,0,1,1034.19
EXP00233,Treatment,1,1,0,1,474.56
EXP00234,Control,1,1,0,1,753.03
EXP00235,Control,1,1,0,1,1029.26
EXP00236,Control,1,1,0,1,1008.46
EXP00237,Treatment,1,1,1,0,0.0
EXP00238,Treatment,1,0,0,0,0.0
EXP00239,Treatment,1,1,0,1,608.98
EXP00240,Treatment,0,0,0,0,0.0
EXP00241,Treatment,0,0,0,0,0.0
EXP00242,Treatment,1,1,0,1,910.62
EXP00243,Treatment,1,1,0,1,606.75
EXP00244,Treatment,1,1,0,1,497.97
EXP00245,Treatment,0,0,0,0,0.0
EXP00246,Treatment,1,1,0,1,613.7
EXP00247,Control,1,1,0,1,1059.17
EXP00248,Treatment,0,0,0,0,0.0
EXP00249,Treatment,0,0,0,0,0.0
EXP00250,Treatment,1,1,0,1,897.38
EXP00251,Control,0,0,0,0,0.0
EXP00252,Treatment,1,1,0,1,647.54
EXP00253,Treatment,1,1,0,1,747.88
EXP00254,Control,1,1,0,1,726.47
EXP00255,Treatment,1,1,0,1,398.18
EXP00256,Treatment,0,0,0,0,0.0
EXP00257,Control,1,1,0,1,810.57
EXP00258,Control,1,1,0,1,684.85
EXP00259,Control,1,1,0,1,1110.8
EXP00260,Treatment,0,0,0,0,0.0
EXP00261,Treatment,0,0,0,0,0.0
EXP00262,Treatment,1,0,0,0,0.0
EXP00263,Treatment,1,1,0,1,746.18
EXP00264,Treatment,1,1,0,1,826.88
EXP00265,Treatment,1,1,0,1,987.78
EXP00266,Treatment,1,1,0,1,1259.6
EXP00267,Control,1,1,0,1,577.6
EXP00268,Treatment,1,1,0,1,1202.89
EXP00269,Control,0,0,0,0,0.0
EXP00270,Control,1,1,0,1,767.66
EXP00271,Control,1,1,0,1,941.32
EXP00272,Treatment,1,1,0,1,986.07
EXP00273,Treatment,1,1,0,1,795.77
EXP00274,Control,1,1,0,1,502.52
EXP00275,Treatment,0,0,0,0,0.0
EXP00276,Treatment,1,1,0,1,650.63
EXP00277,Control,1,1,0,1,520.86
EXP00278,Control,1,1,0,1,947.28
EXP00279,Treatment,1,1,0,1,640.84
EXP00280,Treatment,1,1,0,1,411.88
EXP00281,Control,1,1,0,1,1221.16
EXP00282,Control,0,0,0,0,0.0
EXP00283,Treatment,1,1,0,1,675.2
EXP00284,Treatment,1,1,0,1,933.53
EXP00285,Treatment,0,0,0,0,0.0
EXP00286,Control,1,1,0,1,419.54
EXP00287,Control,1,1,0,1,1024.12
EXP00288,Treatment,1,1,0,1,962.67
EXP00289,Treatment,1,1,1,0,0.0
EXP00290,Control,1,1,0,1,958.44
EXP00291,Treatment,0,0,0,0,0.0
EXP00292,Control,1,1,0,1,996.07
EXP00293,Treatment,1,1,0,1,663.18
EXP00294,Control,1,1,0,1,812.45
EXP00295,Control,1,1,0,1,729.92
EXP00296,Treatment,1,1,0,1,619.18
EXP00297,Treatment,1,1,0,1,747.2
EXP00298,Control,0,0,0,0,0.0
EXP00299,Treatment,1,1,0,1,527.28
EXP00300,Treatment,1,1,0,1,1308.24
EXP00301,Treatment,1,1,0,1,660.37
EXP00302,Control,1,1,0,1,417.48
EXP00303,Control,0,0,0,0,0.0
EXP00304,Treatment,1,1,0,1,877.8
EXP00305,Control,1,1,0,1,997.27
EXP00306,Control,1,1,0,1,732.32
EXP00307,Treatment,1,1,1,0,0.0
EXP00308,Treatment,1,1,0,1,922.47
EXP00309,Treatment,1,1,1,0,0.0
EXP00310,Control,1,1,0,1,856.17
EXP00311,Treatment,1,1,0,1,605.13
EXP00312,Treatment,1,1,0,1,1033.55
EXP00313,Control,1,1,0,1,680.21
EXP00314,Control,0,0,0,0,0.0
EXP00315,Control,1,0,0,0,0.0
EXP00316,Control,1,0,0,0,0.0
EXP00317,Control,1,1,0,1,604.45
EXP00318,Treatment,1,1,0,1,736.1
EXP00319,Treatment,0,0,0,0,0.0
EXP00320,Treatment,1,1,0,1,868.9
EXP00321,Treatment,1,1,0,1,1023.58
EXP00322,Control,1,1,0,1,892.53
EXP00323,Control,1,1,0,1,1124.46
EXP00324,Treatment,0,0,0,0,0.0
EXP00325,Treatment,1,0,0,0,0.0
EXP00326,Control,1,1,0,1,1330.96
EXP00327,Treatment,1,1,0,1,705.17
EXP00328,Treatment,1,1,0,1,832.8
EXP00329,Treatment,1,1,0,1,351.39
EXP00330,Treatment,1,1,0,1,615.65
EXP00331,Treatment,1,1,0,1,1420.92
EXP00332,Control,1,1,0,1,606.43
EXP00333,Control,1,1,0,1,356.96
EXP00334,Control,1,1,0,1,819.4
EXP00335,Control,1,1,0,1,698.31
EXP00336,Control,1,1,0,1,1072.89
EXP00337,Control,1,1,0,1,477.67
EXP00338,Control,1,1,0,1,956.14
EXP00339,Treatment,0,0,0,0,0.0
EXP00340,Treatment,1,1,0,1,530.65
EXP00341,Treatment,1,1,0,1,503.9
EXP00342,Treatment,1,1,0,1,594.19
EXP00343,Control,1,1,1,0,0.0
EXP00344,Treatment,1,1,0,1,1159.28
EXP00345,Treatment,1,1,0,1,876.15
EXP00346,Treatment,1,1,1,0,0.0
EXP00347,Treatment,0,0,0,0,0.0
EXP00348,Control,1,1,0,1,929.64
EXP00349,Control,1,1,0,1,1301.83
EXP00350,Control,1,1,1,0,0.0
EXP00351,Control,0,0,0,0,0.0
EXP00352,Treatment,0,0,0,0,0.0
EXP00353,Control,1,1,0,1,1185.58
EXP00354,Treatment,1,1,1,0,0.0
EXP00355,Treatment,1,1,0,1,492.98
EXP00356,Control,1,1,0,1,476.69
EXP00357,Control,1,1,0,1,722.51
EXP00358,Treatment,1,1,0,1,930.0
EXP00359,Treatment,1,1,0,1,615.98
EXP00360,Treatment,1,1,0,1,886.86
EXP00361,Control,0,0,0,0,0.0
EXP00362,Treatment,1,1,0,1,799.52
EXP00363,Treatment,1,1,0,1,924.67
EXP00364,Control,1,1,1,0,0.0
EXP00365,Control,1,1,0,1,774.0
EXP00366,Control,1,1,0,1,1058.27
EXP00367,Control,1,1,0,1,1060.41
EXP00368,Control,1,1,1,0,0.0
EXP00369,Treatment,1,1,0,1,806.04
EXP00370,Control,1,1,0,1,1035.49
EXP00371,Treatment,1,1,0,1,693.69
EXP00372,Treatment,1,1,0,1,1199.21
EXP00373,Treatment,1,1,1,0,0.0
EXP00374,Treatment,1,1,0,1,526.42
EXP00375,Treatment,1,1,0,1,521.45
EXP00376,Control,1,0,0,0,0.0
EXP00377,Control,1,1,0,1,730.91
EXP00378,Treatment,1,1,0,1,379.3
EXP00379,Control,1,1,0,1,516.68
EXP00380,Treatment,1,1,0,1,1049.36
EXP00381,Treatment,1,1,0,1,704.16
EXP00382,Treatment,1,1,0,1,803.3
EXP00383,Treatment,1,1,0,1,1269.73
EXP00384,Treatment,1,1,0,1,659.89
EXP00385,Treatment,1,1,0,1,1045.4
EXP00386,Control,0,0,0,0,0.0
EXP00387,Control,1,1,0,1,329.42
EXP00388,Control,0,0,0,0,0.0
EXP00389,Treatment,1,1,0,1,1368.98
EXP00390,Control,0,0,0,0,0.0
EXP00391,Control,0,0,0,0,0.0
EXP00392,Control,1,1,0,1,1305.24
EXP00393,Treatment,1,1,0,1,1217.61
EXP00394,Control,1,1,0,1,537.12
EXP00395,Control,0,0,0,0,0.0
EXP00396,Control,1,1,0,1,737.23
EXP00397,Treatment,1,1,0,1,923.35
EXP00398,Control,1,1,0,1,1172.46
EXP00399,Treatment,1,1,0,1,694.96
EXP00400,Treatment,1,1,0,1,907.0
EXP00401,Control,0,0,0,0,0.0
EXP00402,Control,0,0,0,0,0.0
EXP00403,Treatment,1,1,0,1,733.88
EXP00404,Treatment,0,0,0,0,0.0
EXP00405,Control,1,1,0,1,561.91
EXP00406,Control,1,1,0,1,1302.33
EXP00407,Control,1,1,0,1,1079.72
EXP00408,Treatment,1,1,1,0,0.0
EXP00409,Treatment,1,1,0,1,488.73
EXP00410,Treatment,1,1,0,1,751.17
EXP00411,Control,1,1,0,1,534.34
EXP00412,Treatment,1,1,0,1,621.06
EXP00413,Treatment,1,1,0,1,942.18
EXP00414,Control,1,1,0,1,2072.84
EXP00415,Control,1,1,0,1,1067.78
EXP00416,Control,1,1,0,1,806.16
EXP00417,Treatment,1,1,0,1,665.28
EXP00418,Treatment,1,1,0,1,638.83
EXP00419,Treatment,1,1,0,1,469.83
EXP00420,Treatment,1,1,0,1,1033.96
EXP00421,Treatment,1,0,0,0,0.0
EXP00422,Treatment,1,1,0,1,1000.27
EXP00423,Treatment,1,1,0,1,511.92
EXP00424,Control,1,1,0,1,719.13
EXP00425,Control,1,0,0,0,0.0
EXP00426,Control,1,1,0,1,641.82
EXP00427,Control,0,0,0,0,0.0
EXP00428,Control,1,1,1,0,0.0
EXP00429,Treatment,1,1,0,1,811.9
EXP00430,Treatment,1,1,0,1,844.11
EXP00431,Control,1,1,0,1,1154.32
EXP00432,Control,1,1,0,1,607.16
EXP00433,Treatment,1,1,1,0,0.0
EXP00434,Control,1,1,0,1,1267.91
EXP00435,Treatment,1,1,0,1,660.13
EXP00436,Treatment,1,1,0,1,628.27
EXP00437,Treatment,1,1,0,1,914.33
EXP00438,Treatment,1,1,0,1,600.34
EXP00439,Control,1,1,0,1,1143.61
EXP00440,Treatment,1,1,0,1,395.84
EXP00441,Control,0,0,0,0,0.0
EXP00442,Treatment,1,1,0,1,728.38
EXP00443,Treatment,1,1,0,1,545.35
EXP00444,Control,1,1,0,1,529.43
EXP00445,Treatment,1,1,0,1,633.75
EXP00446,Control,1,1,1,0,0.0
EXP00447,Control,1,1,0,1,651.26
EXP00448,Control,1,1,1,0,0.0
EXP00449,Treatment,0,0,0,0,0.0
EXP00450,Treatment,1,1,0,1,642.28
EXP00451,Control,1,1,0,1,1450.71
EXP00452,Treatment,1,1,0,1,818.4
EXP00453,Control,1,1,0,1,598.09
EXP00454,Treatment,1,1,0,1,1038.71
EXP00455,Treatment,1,1,0,1,1589.97
EXP00456,Treatment,1,1,0,1,545.04
EXP00457,Control,1,0,0,0,0.0
EXP00458,Control,1,1,0,1,381.96
EXP00459,Treatment,0,0,0,0,0.0
EXP00460,Treatment,1,1,0,1,990.81
EXP00461,Control,1,1,0,1,829.44
EXP00462,Treatment,1,1,0,1,1288.18
EXP00463,Control,1,1,0,1,735.23
EXP00464,Control,1,1,0,1,468.56
EXP00465,Treatment,1,1,0,1,1337.69
EXP00466,Control,1,1,1,0,0.0
EXP00467,Treatment,1,1,0,1,1253.42
EXP00468,Control,1,1,0,1,642.19
EXP00469,Treatment,1,1,0,1,901.77
EXP00470,Treatment,0,0,0,0,0.0
EXP00471,Treatment,0,0,0,0,0.0
EXP00472,Control,1,1,0,1,571.52
EXP00473,Control,0,0,0,0,0.0
EXP00474,Control,1,1,0,1,753.47
EXP00475,Control,1,1,0,1,547.43
EXP00476,Treatment,1,1,0,1,437.94
EXP00477,Treatment,1,1,0,1,564.24
EXP00478,Treatment,1,1,0,1,549.94
EXP00479,Control,1,1,0,1,465.3
EXP00480,Treatment,1,1,0,1,810.26
EXP00481,Control,1,1,1,0,0.0
EXP00482,Treatment,1,1,0,1,829.45
EXP00483,Treatment,1,1,0,1,860.49
EXP00484,Treatment,1,1,0,1,1050.53
EXP00485,Treatment,1,1,0,1,763.39
EXP00486,Control,1,1,0,1,561.14
EXP00487,Treatment,0,0,0,0,0.0
EXP00488,Treatment,1,1,0,1,998.76
EXP00489,Treatment,1,1,0,1,558.18
EXP00490,Treatment,0,0,0,0,0.0
EXP00491,Control,0,0,0,0,0.0
EXP00492,Treatment,1,1,0,1,1345.96
EXP00493,Control,0,0,0,0,0.0
EXP00494,Treatment,1,1,0,1,927.39
EXP00495,Control,1,1,1,0,0.0
EXP00496,Treatment,1,1,0,1,479.28
EXP00497,Control,1,1,1,0,0.0
EXP00498,Treatment,1,1,0,1,476.07
EXP00499,Control,1,1,0,1,873.75
EXP00500,Control,1,1,0,1,971.56
EXP00501,Control,1,1,0,1,593.25
EXP00502,Control,1,1,0,1,943.2
EXP00503,Control,1,1,0,1,1123.61
EXP00504,Control,1,1,0,1,643.38
EXP00505,Treatment,1,0,0,0,0.0
EXP00506,Treatment,1,1,0,1,669.83
EXP00507,Control,1,1,0,1,761.11
EXP00508,Treatment,1,1,0,1,846.82
EXP00509,Control,0,0,0,0,0.0
EXP00510,Treatment,1,1,0,1,574.82
EXP00511,Control,1,1,1,0,0.0
EXP00512,Control,0,0,0,0,0.0
EXP00513,Control,1,1,0,1,647.45
EXP00514,Treatment,1,1,0,1,580.29
EXP00515,Treatment,1,1,0,1,443.95
EXP00516,Control,1,1,0,1,447.6
EXP00517,Control,1,1,0,1,940.58
EXP00518,Control,0,0,0,0,0.0
EXP00519,Treatment,1,1,0,1,740.01
EXP00520,Treatment,1,1,0,1,1026.69
EXP00521,Control,1,1,0,1,417.69
EXP00522,Control,1,1,0,1,808.71
EXP00523,Treatment,1,0,0,0,0.0
EXP00524,Control,1,1,0,1,683.16
EXP00525,Control,1,1,1,0,0.0
EXP00526,Control,0,0,0,0,0.0
EXP00527,Control,0,0,0,0,0.0
EXP00528,Treatment,1,1,1,0,0.0
EXP00529,Treatment,0,0,0,0,0.0
EXP00530,Control,1,1,0,1,563.58
EXP00531,Treatment,1,1,0,1,777.92
EXP00532,Control,1,1,0,1,370.44
EXP00533,Control,1,1,0,1,964.06
EXP00534,Control,1,1,0,1,939.53
EXP00535,Control,1,1,0,1,637.33
EXP00536,Treatment,1,1,0,1,739.29
EXP00537,Control,1,1,0,1,1425.41
EXP00538,Control,0,0,0,0,0.0
EXP00539,Control,1,1,0,1,1159.72
EXP00540,Treatment,1,1,0,1,744.79
EXP00541,Treatment,1,1,0,1,896.7
EXP00542,Control,1,0,0,0,0.0
EXP00543,Treatment,1,1,0,1,407.64
EXP00544,Treatment,1,1,0,1,557.91
EXP00545,Treatment,1,1,0,1,412.74
EXP00546,Control,1,1,0,1,683.45
EXP00547,Treatment,1,1,0,1,917.14
EXP00548,Treatment,1,1,0,1,949.33
EXP00549,Treatment,1,1,0,1,578.71
EXP00550,Treatment,1,1,0,1,552.85
EXP00551,Treatment,1,1,0,1,645.11
EXP00552,Control,1,1,0,1,1562.72
EXP00553,Control,1,1,0,1,587.36
EXP00554,Control,1,1,0,1,367.16
EXP00555,Control,1,1,0,1,903.5
EXP00556,Treatment,0,0,0,0,0.0
EXP00557,Treatment,1,1,1,0,0.0
EXP00558,Control,1,1,0,1,583.76
EXP00559,Treatment,0,0,0,0,0.0
EXP00560,Control,0,0,0,0,0.0
EXP00561,Control,0,0,0,0,0.0
EXP00562,Treatment,0,0,0,0,0.0
EXP00563,Treatment,1,0,0,0,0.0
EXP00564,Treatment,1,1,0,1,644.84
EXP00565,Treatment,1,1,0,1,554.31
EXP00566,Control,1,1,0,1,807.55
EXP00567,Treatment,1,1,0,1,640.86
EXP00568,Control,0,0,0,0,0.0
EXP00569,Control,1,1,0,1,546.52
EXP00570,Control,1,1,1,0,0.0
EXP00571,Control,1,1,0,1,624.2
EXP00572,Treatment,1,1,0,1,821.39
EXP00573,Control,0,0,0,0,0.0
EXP00574,Control,0,0,0,0,0.0
EXP00575,Control,0,0,0,0,0.0
EXP00576,Treatment,1,1,0,1,591.22
EXP00577,Treatment,1,1,0,1,950.03
EXP00578,Control,1,0,0,0,0.0
EXP00579,Treatment,1,1,0,1,850.83
EXP00580,Control,1,1,0,1,925.35
EXP00581,Treatment,1,1,1,0,0.0
EXP00582,Control,0,0,0,0,0.0
EXP00583,Treatment,1,1,0,1,435.62
EXP00584,Control,1,1,0,1,787.15
EXP00585,Treatment,1,1,0,1,583.7
EXP00586,Treatment,1,1,0,1,712.88
EXP00587,Control,0,0,0,0,0.0
EXP00588,Treatment,1,1,0,1,535.92
EXP00589,Control,1,1,0,1,1057.65
EXP00590,Treatment,1,1,0,1,739.05
EXP00591,Control,1,1,0,1,660.1
EXP00592,Control,0,0,0,0,0.0
EXP00593,Treatment,1,1,0,1,753.91
EXP00594,Control,0,0,0,0,0.0
EXP00595,Control,1,1,0,1,590.65
EXP00596,Treatment,0,0,0,0,0.0
EXP00597,Treatment,1,1,0,1,989.18
EXP00598,Treatment,1,1,1,0,0.0
EXP00599,Treatment,1,0,0,0,0.0
EXP00600,Control,1,1,0,1,1171.62
EXP00601,Treatment,1,1,0,1,546.28
EXP00602,Treatment,1,1,0,1,760.48
EXP00603,Control,1,1,0,1,302.71
EXP00604,Treatment,1,1,0,1,1142.92
EXP00605,Control,1,1,0,1,672.7
EXP00606,Control,0,0,0,0,0.0
EXP00607,Treatment,1,1,0,1,974.88
EXP00608,Control,1,1,0,1,635.57
EXP00609,Control,0,0,0,0,0.0
EXP00610,Control,1,1,0,1,847.87
EXP00611,Treatment,1,1,1,0,0.0
EXP00612,Treatment,1,1,0,1,577.73
EXP00613,Treatment,1,1,0,1,773.72
EXP00614,Treatment,0,0,0,0,0.0
EXP00615,Treatment,1,1,0,1,686.68
EXP00616,Treatment,0,0,0,0,0.0
EXP00617,Control,1,1,0,1,595.98
EXP00618,Control,0,0,0,0,0.0
EXP00619,Treatment,1,1,0,1,813.68
EXP00620,Treatment,1,1,0,1,600.61
EXP00621,Control,0,0,0,0,0.0
EXP00622,Treatment,1,1,0,1,897.73
EXP00623,Treatment,1,1,0,1,1278.92
EXP00624,Control,1,1,0,1,630.29
EXP00625,Control,1,0,0,0,0.0
EXP00626,Treatment,1,1,1,0,0.0
EXP00627,Treatment,1,1,0,1,1076.52
EXP00628,Treatment,1,1,0,1,837.91
