order_id,session_id,user_id,order_date,order_value,payment_method,payment_status,delivery_fee
O000161,S000377,U00218,2025-06-30T22:24:36,782.91,UPI,Success,49.0
O000162,S000380,U00219,2025-01-22T10:59:36,825.52,UPI,Success,19.0
O000163,S000384,U00220,2025-06-28T11:49:36,1256.39,Cash on Delivery,Success,0.0
O000164,S000385,U00221,2025-04-24T10:49:36,790.87,Card,Success,19.0
O000165,S000389,U00224,2025-06-23T15:27:36,578.07,Wallet,Success,19.0
O000167,S000399,U00230,2025-03-28T16:20:36,524.09,Cash on Delivery,Success,29.0
O000168,S000403,U00233,2025-04-10T19:25:36,901.29,UPI,Success,19.0
O000169,S000404,U00233,2025-02-14T19:18:36,695.68,Card,Success,19.0
O000170,S000405,U00233,2025-03-10T21:58:36,345.92,UPI,Success,19.0
O000171,S000406,U00233,2025-06-09T17:14:36,594.19,Card,Success,39.0
O000172,S000412,U00236,2025-01-23T12:38:36,838.18,Wallet,Success,69.0
O000173,S000413,U00237,2025-04-20T19:55:36,398.66,Card,Success,39.0
O000174,S000414,U00238,2025-04-23T07:26:36,544.97,UPI,Success,39.0
O000175,S000416,U00240,2025-06-02T16:22:36,729.8,Wallet,Success,59.0
O000176,S000417,U00240,2025-03-22T19:10:36,900.04,UPI,Success,19.0
O000177,S000418,U00241,2025-01-25T17:54:36,785.16,Card,Success,49.0
O000178,S000419,U00242,2025-01-01T07:40:36,1552.56,Card,Success,0.0
O000179,S000421,U00243,2025-04-22T12:01:36,491.38,Wallet,Success,39.0
O000180,S000422,U00244,2025-05-04T21:17:36,734.46,UPI,Success,39.0
O000181,S000423,U00245,2025-03-10T14:04:36,1059.79,UPI,Success,0.0
O000182,S000426,U00246,2025-03-22T19:08:36,987.16,Wallet,Success,29.0
O000183,S000430,U00248,2025-03-10T17:11:36,798.76,UPI,Success,49.0
O000185,S000433,U00251,2025-01-19T18:47:36,727.84,Cash on Delivery,Success,39.0
O000186,S000434,U00251,2025-06-18T08:19:36,479.48,Wallet,Success,29.0
O000187,S000437,U00252,2025-06-14T10:12:36,745.43,UPI,Success,29.0
O000188,S000438,U00253,2025-05-04T13:17:36,587.44,Cash on Delivery,Success,19.0
O000189,S000440,U00255,2025-03-18T11:38:36,1277.61,Cash on Delivery,Success,19.0
O000190,S000442,U00257,2025-02-18T22:41:36,389.56,Wallet,Success,39.0
O000191,S000444,U00259,2025-01-31T07:52:36,539.55,Card,Success,39.0
O000192,S000445,U00260,2025-03-02T20:54:36,674.88,UPI,Success,39.0
O000193,S000446,U00260,2025-02-14T15:54:36,2118.66,Card,Success,0.0
O000194,S000447,U00260,2025-04-08T10:20:36,546.87,UPI,Success,59.0
O000195,S000449,U00262,2025-04-19T18:33:36,1297.69,Card,Success,0.0
O000196,S000457,U00266,2025-02-27T20:39:36,628.9,UPI,Success,59.0
O000197,S000459,U00268,2025-02-19T09:42:36,1136.53,UPI,Success,0.0
O000198,S000462,U00269,2025-02-27T12:06:36,284.61,Card,Success,69.0
O000200,S000464,U00271,2025-06-25T10:49:36,493.63,Card,Success,29.0
O000202,S000467,U00273,2025-06-03T18:42:36,776.13,Cash on Delivery,Success,49.0
O000203,S000468,U00274,2025-01-01T21:44:36,666.15,Cash on Delivery,Success,29.0
O000204,S000469,U00274,2025-05-30T21:50:36,617.11,Cash on Delivery,Success,39.0
O000205,S000471,U00275,2025-03-23T15:24:36,828.11,UPI,Success,39.0
O000206,S000472,U00276,2025-01-25T13:23:36,471.14,Wallet,Success,29.0
O000207,S000478,U00279,2025-02-06T17:31:36,326.36,Cash on Delivery,Success,0.0
O000208,S000484,U00283,2025-03-07T20:59:36,356.92,Card,Success,19.0
O000209,S000487,U00284,2025-06-08T17:09:36,824.23,Wallet,Success,29.0
O000210,S000489,U00286,2025-05-30T10:46:36,489.17,Card,Success,49.0
O000212,S000492,U00288,2025-04-11T21:26:36,1166.38,Card,Success,0.0
O000213,S000493,U00289,2025-02-26T21:47:36,722.87,Card,Success,49.0
O000214,S000494,U00290,2025-04-16T08:22:36,810.28,Card,Success,39.0
O000215,S000495,U00291,2025-06-03T12:19:36,1006.77,Card,Success,0.0
O000216,S000496,U00291,2025-04-19T12:36:36,542.27,UPI,Success,69.0
O000217,S000498,U00292,2025-03-28T19:16:36,549.7,Wallet,Success,19.0
O000218,S000501,U00294,2025-06-18T20:07:36,460.85,UPI,Success,29.0
O000220,S000503,U00296,2025-02-25T18:51:36,735.97,Wallet,Success,39.0
O000221,S000505,U00298,2025-06-05T11:46:36,887.12,Cash on Delivery,Success,49.0
O000223,S000515,U00306,2025-05-19T22:29:36,1013.22,Card,Success,39.0
O000224,S000521,U00310,2025-05-26T10:56:36,945.31,Cash on Delivery,Success,0.0
O000225,S000525,U00314,2025-04-04T20:07:36,452.71,Wallet,Success,39.0
O000226,S000528,U00315,2025-05-02T18:47:36,501.35,Card,Success,39.0
O000227,S000535,U00319,2025-04-30T19:19:36,657.22,Wallet,Success,59.0
O000228,S000536,U00319,2025-05-09T18:17:36,427.94,UPI,Success,49.0
O000229,S000538,U00321,2025-06-20T08:01:36,1098.26,UPI,Success,0.0
O000231,S000540,U00322,2025-01-04T18:45:36,394.09,Card,Success,59.0
O000232,S000541,U00323,2025-01-16T21:01:36,967.85,Cash on Delivery,Success,0.0
O000233,S000543,U00325,2025-04-25T12:55:36,443.96,Cash on Delivery,Success,29.0
O000234,S000545,U00326,2025-02-05T13:13:36,592.77,UPI,Success,39.0
O000235,S000551,U00329,2025-06-18T09:03:36,1222.22,Card,Success,0.0
O000236,S000552,U00329,2025-02-05T13:23:36,685.58,Card,Success,39.0
O000237,S000553,U00330,2025-04-22T10:02:36,783.16,Wallet,Success,0.0
O000238,S000554,U00331,2025-03-15T17:35:36,432.25,Card,Success,19.0
O000239,S000558,U00333,2025-01-31T18:50:36,1270.41,Card,Success,0.0
O000241,S000564,U00336,2025-05-28T11:36:36,438.21,Cash on Delivery,Success,39.0
O000242,S000566,U00338,2025-04-23T21:37:36,694.39,Cash on Delivery,Success,0.0
O000243,S000569,U00338,2025-03-27T14:28:36,1056.88,UPI,Success,19.0
O000244,S000576,U00341,2025-04-30T19:17:36,648.81,UPI,Success,29.0
O000245,S000580,U00344,2025-04-19T19:11:36,792.87,UPI,Success,19.0
O000246,S000581,U00345,2025-01-05T14:34:36,199.72,Wallet,Success,59.0
O000247,S000582,U00345,2025-01-31T22:19:36,563.51,UPI,Success,19.0
O000248,S000583,U00345,2025-06-11T17:26:36,405.14,UPI,Success,59.0
O000249,S000584,U00346,2025-05-06T13:04:36,455.5,UPI,Success,69.0
O000250,S000585,U00346,2025-05-18T21:22:36,445.09,UPI,Success,49.0
O000251,S000588,U00347,2025-03-18T11:43:36,1211.84,UPI,Success,0.0
O000252,S000590,U00348,2025-05-08T18:57:36,485.55,UPI,Success,39.0
O000253,S000592,U00350,2025-02-02T07:25:36,425.54,UPI,Success,19.0
O000254,S000595,U00351,2025-04-20T10:27:36,892.2,Cash on Delivery,Success,49.0
O000257,S000602,U00357,2025-02-22T10:06:36,837.52,UPI,Success,29.0
O000258,S000603,U00357,2025-04-28T22:20:36,619.98,UPI,Success,59.0
O000259,S000604,U00358,2025-06-17T08:32:36,492.57,Wallet,Success,29.0
O000260,S000606,U00359,2025-06-30T09:30:36,504.46,Card,Success,0.0
O000261,S000607,U00360,2025-06-03T12:27:36,247.32,UPI,Success,59.0
O000262,S000608,U00361,2025-05-24T15:30:36,843.62,UPI,Success,29.0
O000263,S000609,U00361,2025-04-16T10:35:36,1021.48,UPI,Success,0.0
O000264,S000617,U00365,2025-01-24T18:40:36,427.7,UPI,Success,39.0
O000265,S000620,U00368,2025-01-06T08:55:36,366.72,UPI,Success,19.0
O000266,S000622,U00368,2025-06-02T08:24:36,762.4,UPI,Success,39.0
O000267,S000626,U00371,2025-04-22T12:22:36,1933.64,Wallet,Success,0.0
O000268,S000627,U00371,2025-06-26T07:24:36,995.16,UPI,Success,49.0
O000269,S000629,U00373,2025-01-23T22:42:36,479.23,Card,Success,29.0
O000270,S000634,U00376,2025-06-10T12:37:36,603.84,Wallet,Success,59.0
O000271,S000635,U00377,2025-02-13T16:03:36,629.73,Wallet,Success,19.0
O000272,S000636,U00378,2025-04-30T14:28:36,344.03,UPI,Success,49.0
O000273,S000637,U00378,2025-02-02T11:49:36,763.88,Cash on Delivery,Success,49.0
O000274,S000639,U00379,2025-04-27T07:56:36,501.07,Cash on Delivery,Success,29.0
O000275,S000640,U00380,2025-01-29T22:50:36,615.17,Wallet,Success,0.0
O000276,S000641,U00380,2025-02-08T15:09:36,950.73,UPI,Success,0.0
O000277,S000644,U00381,2025-05-05T09:49:36,1378.1,UPI,Success,0.0
O000278,S000645,U00382,2025-02-03T07:26:36,684.82,Card,Success,69.0
O000279,S000648,U00384,2025-05-01T12:24:36,504.63,Card,Success,49.0
O000280,S000654,U00388,2025-01-18T18:19:36,560.99,UPI,Success,29.0
O000281,S000658,U00391,2025-06-02T08:39:36,730.17,Cash on Delivery,Success,39.0
O000282,S000659,U00391,2025-04-05T22:02:36,356.15,UPI,Success,29.0
O000283,S000663,U00393,2025-02-24T14:47:36,646.81,UPI,Success,29.0
O000284,S000664,U00394,2025-02-18T12:38:36,590.7,UPI,Success,29.0
O000285,S000665,U00394,2025-02-14T19:50:36,511.78,Card,Success,49.0
O000286,S000668,U00397,2025-03-21T22:47:36,1204.27,Cash on Delivery,Success,0.0
O000287,S000669,U00398,2025-04-06T13:54:36,550.96,Wallet,Success,29.0
O000289,S000675,U00402,2025-01-22T14:18:36,547.35,UPI,Success,39.0
O000290,S000676,U00403,2025-02-16T18:45:36,1086.31,UPI,Success,59.0
O000292,S000686,U00408,2025-02-01T18:37:36,605.76,UPI,Success,29.0
O000293,S000687,U00409,2025-06-29T21:23:36,1039.47,UPI,Success,0.0
O000294,S000688,U00410,2025-03-09T17:09:36,1094.62,Wallet,Success,0.0
O000296,S000694,U00411,2025-04-27T11:31:36,1368.44,Card,Success,0.0
O000297,S000695,U00412,2025-06-16T11:23:36,961.88,UPI,Success,39.0
O000298,S000699,U00414,2025-03-19T18:40:36,1072.07,Wallet,Success,0.0
O000299,S000700,U00414,2025-05-19T10:48:36,751.82,UPI,Success,39.0
O000301,S000705,U00416,2025-04-17T11:13:36,537.17,Wallet,Success,69.0
O000302,S000707,U00418,2025-03-06T09:24:36,784.58,Cash on Delivery,Success,49.0
O000303,S000711,U00419,2025-04-30T07:47:36,405.58,UPI,Success,29.0
O000304,S000714,U00421,2025-05-15T20:18:36,783.24,Cash on Delivery,Success,0.0
O000305,S000716,U00423,2025-04-28T11:16:36,955.29,UPI,Success,59.0
O000306,S000717,U00424,2025-06-04T09:20:36,658.58,Card,Success,19.0
O000307,S000719,U00426,2025-06-12T14:42:36,724.78,Wallet,Success,49.0
O000308,S000722,U00428,2025-06-04T11:23:36,502.26,UPI,Success,39.0
O000309,S000724,U00429,2025-06-11T10:49:36,589.44,UPI,Success,49.0
O000310,S000726,U00431,2025-02-01T14:33:36,637.63,Card,Success,49.0
O000311,S000728,U00433,2025-01-28T07:49:36,1643.39,Wallet,Success,0.0
O000312,S000729,U00433,2025-05-31T09:25:36,402.89,Wallet,Success,49.0
O000313,S000730,U00434,2025-05-22T09:11:36,905.0,Card,Success,0.0
O000314,S000732,U00435,2025-06-23T14:24:36,262.75,UPI,Success,49.0
O000315,S000733,U00436,2025-05-11T16:25:36,628.72,Cash on Delivery,Success,29.0
O000316,S000736,U00438,2025-04-08T08:05:36,846.57,Wallet,Success,49.0
O000317,S000738,U00439,2025-04-02T15:29:36,903.53,UPI,Success,0.0
O000318,S000739,U00440,2025-01-11T08:21:36,1207.85,Card,Success,19.0
O000320,S000741,U00440,2025-06-23T09:18:36,590.28,Card,Success,29.0
O000321,S000743,U00441,2025-02-21T15:10:36,740.64,UPI,Success,39.0
O000322,S000744,U00441,2025-04-02T18:28:36,401.89,UPI,Success,49.0
O000323,S000745,U00441,2025-03-28T13:53:36,499.4,Wallet,Success,0.0
O000324,S000747,U00442,2025-04-27T19:39:36,389.31,UPI,Success,39.0
O000325,S000749,U00443,2025-01-29T14:28:36,651.48,UPI,Success,29.0
O000327,S000756,U00447,2025-05-29T21:13:36,789.16,Cash on Delivery,Success,59.0
O000328,S000757,U00447,2025-06-18T16:27:36,1075.68,UPI,Success,19.0
O000329,S000758,U00448,2025-06-29T16:26:36,634.2,Card,Success,0.0
O000330,S000759,U00448,2025-06-19T20:05:36,932.26,Wallet,Success,59.0
O000331,S000763,U00452,2025-02-27T08:41:36,333.88,UPI,Success,49.0
O000333,S000767,U00455,2025-03-26T20:14:36,484.2,UPI,Success,39.0
O000335,S000771,U00458,2025-01-27T14:42:36,290.65,UPI,Success,29.0
O000336,S000775,U00461,2025-01-05T10:16:36,595.77,UPI,Success,19.0
O000337,S000778,U00462,2025-02-26T10:27:36,876.04,UPI,Success,39.0
O000338,S000782,U00464,2025-06-11T11:04:36,1359.0,UPI,Success,0.0
O000340,S000790,U00467,2025-05-01T13:47:36,785.34,Wallet,Success,69.0
O000341,S000794,U00469,2025-05-26T08:34:36,842.62,UPI,Success,39.0
O000342,S000796,U00470,2025-02-17T15:29:36,492.95,UPI,Success,49.0
O000343,S000800,U00473,2025-04-16T10:49:36,992.57,UPI,Success,0.0
O000344,S000803,U00474,2025-05-11T18:45:36,707.6,Wallet,Success,39.0
O000345,S000806,U00477,2025-01-20T20:32:36,884.59,Wallet,Success,49.0
O000346,S000811,U00481,2025-01-09T15:35:36,1342.75,UPI,Success,0.0
O000347,S000814,U00484,2025-04-11T18:23:36,1079.05,UPI,Success,0.0
O000348,S000816,U00486,2025-01-31T16:25:36,856.33,UPI,Success,19.0
O000349,S000820,U00489,2025-05-30T12:24:36,1029.22,Card,Success,0.0
O000350,S000821,U00489,2025-05-28T07:48:36,1273.97,Card,Success,0.0
O000351,S000823,U00491,2025-03-16T08:39:36,901.06,Wallet,Success,0.0
O000352,S000824,U00491,2025-03-12T17:22:36,390.96,UPI,Success,19.0
O000353,S000826,U00492,2025-03-16T18:39:36,874.86,UPI,Success,29.0
O000354,S000827,U00493,2025-03-18T08:31:36,878.87,Card,Success,49.0
O000355,S000828,U00493,2025-03-08T16:20:36,653.27,UPI,Success,39.0
O000356,S000829,U00493,2025-02-26T16:40:36,1131.56,Cash on Delivery,Success,49.0
O000357,S000830,U00494,2025-02-04T17:21:36,741.07,UPI,Success,0.0
O000358,S000833,U00495,2025-06-03T07:31:36,920.85,Card,Success,0.0
O000359,S000834,U00496,2025-04-17T13:08:36,478.13,UPI,Success,39.0
O000360,S000837,U00498,2025-01-28T10:25:36,899.97,UPI,Success,39.0
O000361,S000838,U00499,2025-05-12T08:25:36,954.18,UPI,Success,19.0
O000362,S000841,U00501,2025-01-16T17:07:36,917.93,UPI,Success,59.0
O000363,S000844,U00501,2025-03-18T07:18:36,1087.23,Card,Success,0.0
O000364,S000845,U00502,2025-06-30T12:38:36,512.21,UPI,Success,39.0
O000365,S000846,U00502,2025-01-15T15:35:36,1254.45,UPI,Success,0.0
O000366,S000849,U00504,2025-05-11T14:23:36,588.83,UPI,Success,0.0
O000367,S000850,U00505,2025-06-10T15:42:36,738.86,Wallet,Success,29.0
O000368,S000852,U00506,2025-03-17T09:45:36,1366.02,Card,Success,0.0
O000369,S000854,U00507,2025-03-01T13:35:36,884.89,UPI,Success,29.0
O000370,S000855,U00507,2025-01-22T11:52:36,766.86,Cash on Delivery,Success,0.0
O000371,S000857,U00508,2025-05-27T22:39:36,881.21,UPI,Success,39.0
O000372,S000859,U00510,2025-03-27T09:04:36,798.0,UPI,Success,19.0
O000374,S000861,U00511,2025-01-11T19:48:36,637.35,UPI,Success,29.0
O000375,S000865,U00512,2025-06-03T14:04:36,948.43,UPI,Success,0.0
O000376,S000867,U00514,2025-03-02T10:15:36,815.26,UPI,Success,39.0
O000377,S000868,U00515,2025-03-11T18:23:36,969.0,Card,Success,0.0
O000380,S000876,U00521,2025-02-05T20:37:36,1234.32,UPI,Success,0.0
O000381,S000878,U00522,2025-06-20T11:18:36,486.97,UPI,Success,49.0
O000383,S000889,U00530,2025-05-17T19:31:36,234.44,UPI,Success,39.0
O000384,S000896,U00533,2025-06-13T08:52:36,853.54,UPI,Success,39.0
O000385,S000899,U00535,2025-06-20T18:32:36,528.71,UPI,Success,29.0
O000386,S000902,U00537,2025-06-25T21:48:36,1000.22,UPI,Success,0.0
O000387,S000904,U00538,2025-03-12T20:30:36,582.02,UPI,Success,29.0
O000388,S000911,U00542,2025-03-08T18:46:36,331.8,Card,Success,59.0
O000389,S000912,U00543,2025-04-20T14:51:36,779.06,Card,Success,29.0
O000390,S000913,U00544,2025-03-25T22:09:36,781.95,UPI,Success,19.0
O000391,S000915,U00544,2025-03-27T15:10:36,865.27,Cash on Delivery,Success,19.0
O000392,S000916,U00544,2025-03-27T17:37:36,565.94,Wallet,Success,49.0
